Player ID,Name,Assoc,Gender,Birth year,Activity,Playing hand,Playing style,Grip,Playing_hand_numeric,Playing_style_numeric,Grip_numeric,Style_commonness
145025,BAE Huicheol,KOR,Male,1999.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
136174,BAECHLER Martin,FRA,Male,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
133717,BAEK Hogyun,KOR,Male,1999.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
145555,BAEK Juyeong,KOR,Female,2005.0,Active,Right-handed,Defender,Shakehand,0,1,0,1
113392,BAEK Kwangil,KOR,Male,1993.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
144603,BAEKELANDT Noa,BEL,Male,2008.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
100817,BAGGALEY Andrew,ENG,Male,1983.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
100818,BAH Mamoudou,SEN,Male,0.0,Inactive,Left-handed,Attacker,Shakehand,1,0,0,1
100819,BAH O Bello,SEN,Male,0.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
122140,BAHAAELDIN Basma,EGY,Female,2001.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
137513,BAHAAELDIN Limar,EGY,Female,2006.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
100823,BAHMANI Akbar,IRI,Male,1969.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
136162,BAHTOVIC Maysa ^,LUX,Female,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
120683,BAI He ^,SVK,Male,1987.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
134554,BAI William ^^,USA,Male,2002.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
146072,BAIASU Andreea,ROU,Female,2009.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
136151,BAIASU Ioana,ROU,Female,2006.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
100829,BAIBULDIN Andrei,RUS,Male,1986.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
136346,BAIDOO Augustina,GHA,Female,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
136347,BAIDOO Augustine,GHA,Male,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
144864,BAILEY Kimroy,JAM,Male,1987.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
133446,BAILLIET Thibault,FRA,Male,2001.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
135651,BAILON Daniel,ESP,Male,2000.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
134888,BAISYA Poymantee,IND,Female,2002.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
111371,BAJADA Daniel,MLT,Male,1993.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
113917,BAJGER Ondrej,CZE,Male,1994.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
115454,BAJOR Natalia,POL,Female,1997.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
137024,BAJOVIC Andrea,MNE,Female,2006.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
131873,BAJPAI Aarushi,USA,Female,2001.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
145757,BAJPAI Isha,USA,Female,2007.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
100841,BAK Daniel,POL,Male,1988.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
135372,BAK Taehong,KOR,Male,2002.0,Active,Right-handed,Defender,Shakehand,0,1,0,1
117026,BAKAC Vedran,CRO,Male,1996.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
100844,BAKAIOVA Tatiana,SVK,Female,1987.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
124538,BAKARI Safrianti Fathan,INA,Female,1997.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
133074,BAKHYT Anel,KAZ,Female,2003.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
113665,BAKIC Luka,MNE,Male,1991.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
144511,BAKIRI Nour,ALG,Female,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
121721,BAKLOUTI Manel,TUN,Female,2002.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
133321,BAKO Radim,CZE,Male,2001.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
131104,BAKO Szilvia,HUN,Female,1999.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
100859,BAKULA Andrea,CRO,Female,1981.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
144604,BAKX Djen,NED,Male,2004.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
120073,BALABAN Ademir,LUX,Male,1999.0,Active,Right-handed,Defender,Shakehand,0,1,0,1
100867,BALAZ Michal,SVK,Male,1988.0,Active,Right-handed,Defender,Shakehand,0,1,0,1
132834,BALAZI Fabrice,FRA,Male,1983.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
100868,BALAZOVA Barbora,SVK,Female,1992.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
131098,BALAZS Bence,HUN,Male,1998.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
124019,BALBUENA Pedro,DOM,Male,2000.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
115417,BALCOU LE BORGNE Giovanni,FRA,Male,1994.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
100869,BALDACCHINO Edward,MLT,Male,1972.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
137709,BALDWIN Mari,ENG,Female,2004.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
120013,BALESTRE Paul,FRA,Male,1998.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
114897,BALINT Bernadett,HUN,Female,1996.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
100877,BALL Matthew,NZL,Male,1989.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
145865,BALLENA UCHOFEN Evelyn Paola,PER,Female,2002.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
143646,BALLESTA Carla,ESP,Female,2004.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
122269,BALLESTER Sara,ESP,Female,1997.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
112332,BALLYYEVA Enejan,TKM,Female,1994.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
135682,BALOGH Andras,HUN,Male,2004.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
134364,BALOGH Bence,HUN,Male,2004.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
136179,BALOGH Kira,HUN,Female,2004.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
120270,BALTUSHITE Marharyta,BLR,Female,2000.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
146260,BALTUSYTE Margarita,LTU,Female,2000.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
144715,BALUSURI Raaga Niveditha,IND,Female,2000.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
144716,BALUSURI Varun Shanker,IND,Male,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
122982,BAN Ivor,CRO,Male,2003.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
136650,BAN Yinyi Dorothea,SGP,Female,2001.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
136237,BANAO Noura Roxane,CIV,Female,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
112522,BAND Joshua,JEY,Male,1993.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
